index	cname	code	exp	memo	unit
683	医疗保健服务费类农村居民消费价格指数(上年=100)	A09031J		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
684	个人用品及服务类农村居民消费价格指数(上年=100)	A09031K	个人用品及服务包括化妆美容用品、清洁类化妆品、个人饰品和个人服务。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
685	化妆美容用品类农村居民消费价格指数(上年=100)	A09031L		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
686	清洁化妆用品类农村居民消费价格指数(上年=100)	A09031M		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
687	个人饰品类农村居民消费价格指数(上年=100)	A09031N		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
688	个人服务类农村居民消费价格指数(上年=100)	A09031O		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
689	交通和通信类农村居民消费价格指数(上年=100)	A09031P	2001-至今，交通包括交通工具、车用燃料及零配件、车辆使用及维修费、市区公共交通费和城市间交通费。通信包括通信工具和通信服务。2000年以前交通和通讯工具包括交通工具、通讯工具。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
690	交通类农村居民消费价格指数(上年=100)	A09031Q		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
691	交通工具类农村居民消费价格指数(上年=100)	A09031R		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
692	车用燃料及零配件类农村居民消费价格指数(上年=100)	A09031S		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
693	车辆使用及维修费类农村居民消费价格指数(上年=100)	A09031T		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
694	市内公共交通费类农村居民消费价格指数(上年=100)	A09031U		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
695	城市间交通费类农村居民消费价格指数(上年=100)	A09031V		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
696	通信类农村居民消费价格指数(上年=100)	A09031W	通信包括通信工具和通信服务。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
697	通信工具类农村居民消费价格指数(上年=100)	A09031X	通信工具包括各种通信工具器材，如固定电话机、移动电话机等。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
698	通信服务类农村居民消费价格指数(上年=100)	A09031Y		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
699	娱乐教育文化用品及服务类农村居民消费价格指数(上年=100)	A09031Z	2001-至今，娱乐教育文化用品及服务包括文娱用耐用消费品及服务、教育、文化娱乐类及旅游。2000年以前娱乐教育文化用品包括文娱用耐用消费品、教材及参考书、文化娱乐用品。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
700	文娱用耐用消费品及服务类农村居民消费价格指数(上年=100)	A090320	文娱用耐用消费品包括彩色电视机、激光视盘机（DVD、BD）、摄像机、音响、收录音机、录放像机、幻灯机等。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
701	教育类农村居民消费价格指数(上年=100)	A090321		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
702	教材及参考书类农村居民消费价格指数(上年=100)	A090322		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
703	学杂托幼费类农村居民消费价格指数(上年=100)	A090323		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
704	文化娱乐类农村居民消费价格指数(上年=100)	A090324		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
705	文化娱乐用品类农村居民消费价格指数(上年=100)	A090325		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
706	书报杂志类农村居民消费价格指数(上年=100)	A090326	书报杂志包括以纸介质形态出版发行的各种中、外文书籍，报纸和杂志等。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
707	文娱费类农村居民消费价格指数(上年=100)	A090327		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
708	旅游类农村居民消费价格指数(上年=100)	A090328		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
709	居住类农村居民消费价格指数(上年=100)	A090329	2001-至今，居住包括建房及装修材料、租房、自有住房及水电燃料。2000年以前居住包括住房、水电燃料。	居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
710	建房及装修材料类农村居民消费价格指数(上年=100)	A09032A		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
711	租房类农村居民消费价格指数(上年=100)	A09032B		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
712	自有住房类农村居民消费价格指数(上年=100)	A09032C		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
713	水电燃料类农村居民消费价格指数(上年=100)	A09032D		居民消费价格八大类在2000年及以前不含服务项目，2000年及以前服务项目为单列大类。	
714	商品零售价格指数(上年=100)	A090401	商品零售价格指数是反映一定时期内城乡商品零售价格变动趋势和程度的相对数。商品零售价格的变动与国家的财政收入、市场供需的平衡、消费与积累的比例关系有关。因此，该指数可以从一个侧面对上述经济活动进行观察和分析。		
715	食品类商品零售价格指数(上年=100)	A090402	食品指可供人类食用或饮用的物质，包括加工食品，半成品和未加工食品，不包括烟草或只作药品用的物质。		
716	粮食类商品零售价格指数(上年=100)	A090403	粮食指人们用作主食的各种成品粮及其加工品，包括大米、面粉、粗杂粮以及各种粗、细粮制品，不包括薯类、豆类及糕点食品。		
717	油脂类商品零售价格指数(上年=100)	A090404	油脂指各种食用油脂，包括植物油、植物油制品和动物油等。		
718	肉禽及其制品类商品零售价格指数(上年=100)	A090405	肉禽及其制品包括肉、禽及其制品。		
719	蛋类商品零售价格指数(上年=100)	A090406	蛋包括各种禽蛋和禽蛋制品。		
720	水产品类商品零售价格指数(上年=100)	A090407	水产品包括鱼、虾、蟹、贝、藻等各类海水和淡水产品。		
721	菜类商品零售价格指数(上年=100)	A090408	菜包括各种叶菜、茎菜、根菜、花菜、果菜以及各种食用菌类。		
722	干鲜瓜果类商品零售价格指数(上年=100)	A090409	干鲜瓜果包括干鲜瓜果及制品。		
723	饮料烟酒类商品零售价格指数(上年=100)	A09040A			
724	服装鞋帽类商品零售价格指数(上年=100)	A09040B	服装指以各种棉布、棉花化纤混纺布、化纤布、呢绒、绸缎、毛皮等为材料加工的各式服装，以及棉、麻、毛、丝、化纤纯纺或混纺经针织而成的服装，按穿着对象分为男士服装、女士服装、各式童装，不包括塑料雨衣和胶布雨衣（雨披）。		
725	纺织品类商品零售价格指数(上年=100)	A09040C	纺织品指以棉、麻、丝、毛和各种人造纤维纺织及混纺的各种衣着材料和床上用品，也包括加工衣着品和其他用品所需的其他各种纺织类产品。		
726	家用电器及音像器材类商品零售价格指数(上年=100)	A09040D			
727	文化办公用品类商品零售价格指数(上年=100)	A09040E	文化办公用品包括学习和办公用的纸张、文具、计算机及其配件、打印机及配件、复印机、扫描仪、油印机、速印机、电子辞典、计算器、印刷材料以及教学用的设备、普通测绘仪器、器材、标本、模型等，不包括通讯器材。计算机及其配套产品包括大、中、小、微型、台式和手提式电子计算机、掌上电脑和计算机的辅助设备，如不间断电源、多媒体配件以及专用设备、零配件，计算机用光盘、磁盘、磁带等，不包括单板机、插卡式电脑学习机和各种电子计算机软件。打印机及配件包括各种打印机（针式、喷墨、激光）以及相关的打印机用纸、色带、硒鼓等。		
728	日用品类商品零售价格指数(上年=100)	A09040F			
729	体育娱乐用品类商品零售价格指数(上年=100)	A09040G			
730	交通、通信用品类商品零售价格指数(上年=100)	A09040H			
731	家具类商品零售价格指数(上年=100)	A09040I	家具主要有坐卧类家具，如椅子、凳子、沙发、床；凭椅类家具，如桌子、茶几；贮藏类家具，如柜、箱；隔断类家具，如屏风等；以及具有多种组合功能的组合家具等。		
732	化妆品类商品零售价格指数(上年=100)	A09040J	化妆品包括护肤品、美容品、护发美容品、清洁化妆品和药物美容用品等。护肤品，如霜、香脂、乳液、润肤油等；美容品，如香粉（粉饼）、胭脂、唇膏、眼影、眉笔、指甲油及各种化妆盒、假发等；护发美容品，如发油、发霜、发蜡、发宝、营养发水、护发素、发胶、摩丝、各种染发剂等；清洁化妆用品，如洗发香波、洗发膏、洗发精、剃发膏、花露水、爽身粉、腋下香、香水等；药物美容用品，如防秃生发水、浓眉露、止痒水（粉）、祛斑霜、粉刺露、防晒剂、痱子粉（水）、减肥霜等。		
733	金银珠宝类商品零售价格指数(上年=100)	A09040K	金银珠宝包括以金、银、铂等金属及钻石、宝（玉）石、翡翠、珍珠、水晶、象牙、骨角等为原料，经加工和连接组合、镶嵌等方法，制成各种图案造型的装饰品、饰品、工艺品等。包括首饰，如项链、戒指、耳环、手镯、脚链、挂件、别针、发卡等；珠宝饰品，如宝（玉）石、钻石镶嵌、珍珠镶嵌、宝（玉）石首饰以及其他金银珠宝饰品等。		
734	中西药品及医疗保健用品类商品零售价格指数(上年=100)	A09040L			
735	书报杂志及电子出版物类商品零售价格指数(上年=100)	A09040M			
736	燃料类商品零售价格指数(上年=100)	A09040N			
737	建筑材料及五金电料类商品零售价格指数(上年=100)	A09040O			
738	农村商品零售价格指数(上年=100)	A090501	商品零售价格指数是反映一定时期内城乡商品零售价格变动趋势和程度的相对数。商品零售价格的变动与国家的财政收入、市场供需的平衡、消费与积累的比例关系有关。因此，该指数可以从一个侧面对上述经济活动进行观察和分析。		
739	食品类农村商品零售价格指数(上年=100)	A090502	食品指可供人类食用或饮用的物质，包括加工食品，半成品和未加工食品，不包括烟草或只作药品用的物质。		
740	粮食类农村商品零售价格指数(上年=100)	A090503	粮食指人们用作主食的各种成品粮及其加工品，包括大米、面粉、粗杂粮以及各种粗、细粮制品，不包括薯类、豆类及糕点食品。		
741	淀粉类农村商品零售价格指数(上年=100)	A090504			
742	干豆类及豆制品类农村商品零售价格指数(上年=100)	A090505	干豆类及豆制品包括大豆、绿豆、杂豆等各种豆类及豆腐、豆腐干（丝）等豆制品。		
743	油脂类农村商品零售价格指数(上年=100)	A090506	油脂指各种食用油脂，包括植物油、植物油制品和动物油等。		
744	肉禽及其制品类农村商品零售价格指数(上年=100)	A090507	肉禽及其制品包括肉、禽及其制品。		
745	蛋类农村商品零售价格指数(上年=100)	A090508	蛋包括各种禽蛋和禽蛋制品。		
746	水产品类农村商品零售价格指数(上年=100)	A090509	水产品包括鱼、虾、蟹、贝、藻等各类海水和淡水产品。		
747	菜类农村商品零售价格指数(上年=100)	A09050A	菜包括各种叶菜、茎菜、根菜、花菜、果菜以及各种食用菌类。		
748	调味品类农村商品零售价格指数(上年=100)	A09050B	调味品包括食用盐、酱油、虾油（鱼卤）、醋、味精、鸡精、糖精、料酒、辣椒酱、花生酱、芝麻酱、蕃茄酱、花椒、八角、茴香、胡椒、咖喱粉、五香粉、炸鸡粉等。		
749	糖类农村商品零售价格指数(上年=100)	A09050C	糖指以糖为主要原料生产加工的食品。包括食糖、糖果、巧克力制品和糖类小食品，不包括糖精。		
750	干鲜瓜果类农村商品零售价格指数(上年=100)	A09050D	干鲜瓜果包括干鲜瓜果及制品。		
751	糕点饼干面包类农村商品零售价格指数(上年=100)	A09050E	糕点饼干指以面粉和糖为基本原料，以油、蛋、奶、果仁、果料等为辅料，经过调制、成型、熟制而成的食品，包括饼干、面包、蛋糕等。		
752	液体乳及乳制品类农村商品零售价格指数(上年=100)	A09050F	液体乳及乳制品包括鲜奶、奶粉、酸奶以及其他乳制品。不包括代乳粉、糕干粉等以粮食或豆类为主加工的制品。这里的鲜奶包括鲜牛奶、鲜马奶、鲜羊奶以及以鲜奶为主要原料配制的混合奶，不包括活性乳、奶粉等各种奶制品，也不包括豆奶。		
753	在外用膳食品类农村商品零售价格指数(上年=100)	A09050G	在外用膳食品指在家庭以外地点的用餐，主要是在餐饮业用餐的食品，包括主食、炒菜、地方小吃和中、西式快餐。		
754	其他食品类农村商品零售价格指数(上年=100)	A09050H	其他食品指上述各类食品以外的其他食品，包括蜂蜜、膨化食品等。		
755	饮料、烟酒类农村商品零售价格指数(上年=100)	A09050I			
756	茶及饮料类农村商品零售价格指数(上年=100)	A09050J	茶叶指以茶树新梢上的芽叶嫩梢为原料加工而成的产品。主要分为绿茶、红茶、黄茶、黑茶、白茶、青茶、花茶等。饮料指以水、粮食、果蔬或奶为基本原料加工而成的流体、半流体或固体冲剂食品，包括固体饮料、液体饮料和冷冻饮品。固体饮料包括咖啡、可可粉和一些果味晶体饮料，如桔子粉、酸梅粉、山楂晶、菊花晶等。液体饮料主要有碳酸饮料、果蔬饮料和桶装矿泉水、饮用水等；碳酸饮料指含二氧化碳的非酒精液体饮料，包括盐汽水、甜汽水、果味汽水，以及罐装、瓶装、杯装的各种可乐；果蔬饮料是以水果、蔬菜、植物的根、茎、叶、花为原料，经压榨或浸渍抽提等方法取汁后加工而成的饮料。冷冻饮品主要是以奶为主要原料制成的冷食，如冰淇淋、雪糕等。		
757	烟草类农村商品零售价格指数(上年=100)	A09050K	烟草包括高档卷烟和中低档卷烟等。各地可根据当地消费情况划分卷烟级别并自行选取规格品。		
758	酒类农村商品零售价格指数(上年=100)	A09050L	酒指用高粱、大麦、米、葡萄或其他水果发酵制成的含酒精饮料。主要有白酒、葡萄酒、啤酒等。		
759	服装、鞋帽类农村商品零售价格指数(上年=100)	A09050M	服装指以各种棉布、棉花化纤混纺布、化纤布、呢绒、绸缎、毛皮等为材料加工的各式服装，以及棉、麻、毛、丝、化纤纯纺或混纺经针织而成的服装，按穿着对象分为男士服装、女士服装、各式童装，不包括塑料雨衣和胶布雨衣（雨披）。		
760	服装类农村商品零售价格指数(上年=100)	A09050N	服装指以各种棉布、棉花化纤混纺布、化纤布、呢绒、绸缎、毛皮等为材料加工的各式服装，以及棉、麻、毛、丝、化纤纯纺或混纺经针织而成的服装，按穿着对象分为男士服装、女士服装、各式童装，不包括塑料雨衣和胶布雨衣（雨披）。		
761	鞋袜帽类农村商品零售价格指数(上年=100)	A09050O	鞋袜帽包括皮鞋、胶鞋、布鞋、全塑料鞋及各种材料制作的靴子、凉鞋、便鞋、拖鞋、运动鞋、旅游鞋、春秋鞋。帽袜包括男、女、童、婴儿的各种面料、各种样式的帽子和袜子。		
762	其他类农村商品零售价格指数(上年=100)	A09050P			
763	纺织品类农村商品零售价格指数(上年=100)	A09050Q	纺织品指以棉、麻、丝、毛和各种人造纤维纺织及混纺的各种衣着材料和床上用品，也包括加工衣着品和其他用品所需的其他各种纺织类产品。		
764	衣着材料类农村商品零售价格指数(上年=100)	A09050R	衣着材料指各类用于制作衣着的纺织纤维制品，包含化学纤维制品和天然纤维制品。包括棉布、化纤布、毛线、丝绸，以及化学纤维与其他棉毛、丝、麻等天然纤维混纺织成各种混纺类织物。		
765	床上用品类农村商品零售价格指数(上年=100)	A09050S	床上用品指以棉、毛、丝及合成纤维等为材料纺织或针织制成的各种床上用品。包括毛毯、床单、被单、床罩、被套、枕具、蚊帐、凉席、垫褥以及各种棉被、鸭绒被、棉毯、线毯、电热毯、毛巾被等。		
766	家用电器及音像器材类农村商品零售价格指数(上年=100)	A09050T			
767	家庭设备类农村商品零售价格指数(上年=100)	A09050U	家庭设备包括洗涤电器：洗衣机、甩干机；制冷电器：电冰箱、电冰柜；清洁电器：吸尘器、加湿器、空气净化器、电熨斗、电风扇、空调器、电淋浴器等；家用厨房电器具：食品加工机、电炊具、吸排油烟机、微波炉、电饭煲、饮水机、电烤箱、洗碗机、消毒柜；家用保健电器：电取暖器、电动按摩器等。		
768	文娱用耐用消费品类农村商品零售价格指数(上年=100)	A09050V	文娱用耐用消费品包括彩色电视机、激光视盘机（DVD、BD）、摄像机、音响、收录音机、录放像机、幻灯机等。		
769	音像器材类农村商品零售价格指数(上年=100)	A09050W			
770	文化办公用品类农村商品零售价格指数(上年=100)	A09050X	文化办公用品包括学习和办公用的纸张、文具、计算机及其配件、打印机及配件、复印机、扫描仪、油印机、速印机、电子辞典、计算器、印刷材料以及教学用的设备、普通测绘仪器、器材、标本、模型等，不包括通讯器材。计算机及其配套产品包括大、中、小、微型、台式和手提式电子计算机、掌上电脑和计算机的辅助设备，如不间断电源、多媒体配件以及专用设备、零配件，计算机用光盘、磁盘、磁带等，不包括单板机、插卡式电脑学习机和各种电子计算机软件。打印机及配件包括各种打印机（针式、喷墨、激光）以及相关的打印机用纸、色带、硒鼓等。		
771	日用品类农村商品零售价格指数(上年=100)	A09050Y			
772	日用百货类农村商品零售价格指数(上年=100)	A09050Z	日用百货包括非机动车及配件（主要是自行车及配件）、雨衣雨伞、理发用具、剃须刀具、部分日用小五金（如刀、剪、针线、锁等）、卫生纸、卫生巾、保温瓶、打火机等。		
773	日用杂品类农村商品零售价格指数(上年=100)	A090510	日用杂品包括精铝、铸铝、铝合金家用器皿、不锈钢餐具、家用厨具及其他不锈钢器皿等，不包括工业建筑的通用金属器皿；日用搪瓷制品，包括单瓷、双瓷的面盆、口杯及其他搪瓷制品等，不包括工业建筑的通用搪瓷制品；铁锅、笼屉、瓷碗、碟等餐具和炊事用具，清洁卫生用具，竹、木、藤、柳编制品以及炉子、烟筒等。		
774	洗涤用品类农村商品零售价格指数(上年=100)	A090511	洗涤用品包括洗衣粉、肥皂、香皂、浴皂、药皂、牙膏及各种清洁洗涤剂（膏、液、粉）等日用洗涤用品。		
775	其他日用品类农村商品零售价格指数(上年=100)	A090512	其他日用品不包括以上列出的其他日用品。包括：各种儿童玩具、照明器具（各种灯具、灯泡、灯管等）、钟表（各种机械、石英电子的闹钟、挂钟、座钟等；各种机械、石英电子手表、怀表等及钟表零配件）、眼镜（各种成品眼镜、眼镜架、眼镜片、眼镜毛坯、眼镜零配件）、工艺美术品（各种雕塑工艺品，如玉雕、牙雕等；金属工艺品；漆器工艺品；画类工艺品；人造花卉；天然植物、纤维编织工艺品，如竹、藤、草编工艺品等；刺绣工艺品；抽纱工艺品）、日用塑料制品、日用皮革制品、日用玻璃器皿和日用普通饰品等。		
776	体育娱乐用品类农村商品零售价格指数(上年=100)	A090513			
777	体育用品类农村商品零售价格指数(上年=100)	A090514	体育用品包括球类及球类器材、棋牌和健身器材。球类包括篮球、足球、排球、羽毛球、乒乓球等；棋牌包括象棋、国际象棋、围棋、克郎棋、军棋、跳棋、扑克牌、麻将牌等。健身器材包括各种通过器械达到锻炼身体、提高身体素质的器材，如侧重于“练习肌肉的”扩胸机、举重床、自重式健力器、哑铃组合架、坐式后拉器、卧式后屈腿训练器等；侧重于身体素质训练的跑步机、健步器、骑马机、滑雪器、健骑机等以及集消除疲劳、减肥健身为一体的各种非电动按摩机、健腹器等。其他体育用品包括体操运动器材，举重运动器材，田径运动器材，水上运动器材，冰雪运动器材，射击、射箭、击剑器材，场地器材，航空、航海模型材料，运动保护用具，钓鱼用具等。		
778	娱乐用品类农村商品零售价格指数(上年=100)	A090515	娱乐用品包括游艺器材、乐器等。游艺器材包括游戏机、插卡式电脑学习机、儿童运动游艺器材等；乐器包括中西乐器、电子乐器、乐器辅助用品及配件，如钢琴、提琴、手风琴、吉他等。		
779	交通、通信用品类农村商品零售价格指数(上年=100)	A090516	交通和通信交通包括交通工具、车用燃料及零配件、车辆使用及维修费、市区公共交通费和城市间交通费。通信包括通信工具和通信服务。		
780	交通运输机械类农村商品零售价格指数(上年=100)	A090517	交通运输机械包括各类轿车、客车、货车、摩托车等机动车辆及其配件。		
781	通讯器材类农村商品零售价格指数(上年=100)	A090518			
782	家具类农村商品零售价格指数(上年=100)	A090519	家具主要有坐卧类家具，如椅子、凳子、沙发、床；凭椅类家具，如桌子、茶几；贮藏类家具，如柜、箱；隔断类家具，如屏风等；以及具有多种组合功能的组合家具等。		
783	化妆品类农村商品零售价格指数(上年=100)	A09051A	化妆品包括护肤品、美容品、护发美容品、清洁化妆品和药物美容用品等。护肤品，如霜、香脂、乳液、润肤油等；美容品，如香粉（粉饼）、胭脂、唇膏、眼影、眉笔、指甲油及各种化妆盒、假发等；护发美容品，如发油、发霜、发蜡、发宝、营养发水、护发素、发胶、摩丝、各种染发剂等；清洁化妆用品，如洗发香波、洗发膏、洗发精、剃发膏、花露水、爽身粉、腋下香、香水等；药物美容用品，如防秃生发水、浓眉露、止痒水（粉）、祛斑霜、粉刺露、防晒剂、痱子粉（水）、减肥霜等。		
784	金银珠宝类农村商品零售价格指数(上年=100)	A09051B	金银珠宝包括以金、银、铂等金属及钻石、宝（玉）石、翡翠、珍珠、水晶、象牙、骨角等为原料，经加工和连接组合、镶嵌等方法，制成各种图案造型的装饰品、饰品、工艺品等。包括首饰，如项链、戒指、耳环、手镯、脚链、挂件、别针、发卡等；珠宝饰品，如宝（玉）石、钻石镶嵌、珍珠镶嵌、宝（玉）石首饰以及其他金银珠宝饰品等。		
785	中西药品及医疗保健用品类农村商品零售价格指数(上年=100)	A09051C			
786	医疗器具及用品类农村商品零售价格指数(上年=100)	A09051D	医疗器具及用品指人使用的用于医疗的小型器具。包括血压计、体温计、注射器等，不包括医疗用的各种大型设备，如CT机、核磁共振器等医疗器材。		
787	中药材及中成药类农村商品零售价格指数(上年=100)	A09051E	中药材包括植物类、动物类、矿物类等中药材。中成药包括中成药丸剂、中成药冲剂、中成药糖浆、中成药片剂、中成药针剂、中成药注射液、膏药、中成药口服液、中成药胶囊、中成药散剂、中成药栓剂等。		
788	西药类农村商品零售价格指数(上年=100)	A09051F			
789	保健器具及用品类农村商品零售价格指数(上年=100)	A09051G			
790	书报杂志及电子出版物类农村商品零售价格指数(上年=100)	A09051H	书报杂志包括以纸介质形态出版发行的各种中、外文书籍，报纸和杂志等。		
791	教材及参考书类农村商品零售价格指数(上年=100)	A09051I			
792	书报杂志类农村商品零售价格指数(上年=100)	A09051J	书报杂志包括以纸介质形态出版发行的各种中、外文书籍，报纸和杂志等。		
793	电子音像制品类农村商品零售价格指数(上年=100)	A09051K	电子音像制品包括以数字代码方式将声音、图像、文字和编码等图文音像信息编辑加工后存储在磁、光、电介质上，通过计算机或者具有类似功能的设备读取使用的产品，其媒体形态包括软磁盘（FD）、只读光盘（CD—ROM）、交互式光盘（CD—I）、照片光盘（PHOTO—ROM）、高密度只读光盘（DVD—ROM）等。音像制品指各种磁、光、电介质的录音、录像的磁带、光盘（CD、DVD、BD）等。		
794	燃料类农村商品零售价格指数(上年=100)	A09051L			
795	煤炭及制品类农村商品零售价格指数(上年=100)	A09051M	煤炭及制品包括原煤、煤炭及制品，如焦炭、石油焦、半焦、煤（饼）块和煤球等。		
796	石油及制品类农村商品零售价格指数(上年=100)	A09051N	石油及制品包括液化石油气、管道燃气、汽油、柴油、机油等。		
797	建筑材料及五金电料类农村商品零售价格指数(上年=100)	A09051O			
798	建筑装璜材料类农村商品零售价格指数(上年=100)	A09051P			
799	五金电料类农村商品零售价格指数(上年=100)	A09051Q			
800	农业生产资料指数(上年=100)	A090601	农业生产资料价格指数指反映一定时期内农业生产资料价格变动趋势和程度的相对数。其编制目的是了解农业生产中投入物质资料价格的变动状况，服务于国民经济核算。1994年以前，农业生产资料价格指数仅仅是商品零售价格指数的一个类别，此后，从商品零售价格指数中分离出来，单独编制。		
801	农用手工工具指数(上年=100)	A090602	农用手工工具指以人力或畜力为动力，结构比较简单的农具。包括镐、镰、锹、犁、耙、耧、耖、锄、筐等。		
802	饲料价格指数(上年=100)	A090603	饲料能提供家畜营养需要，且在合理饲喂下不发生有害现象的物质。国际上根据饲料的营养特征分成八大类：即青干草与蒿禾类饲料、青饲料、青贮饲料、能量饲料、蛋白质补偿饲料、矿物质饲料、维生素饲料和添加剂。一般情况下，可以将前三类归为家畜的原始性日粮，将后五类及其为提高饲料的营养成份或为刺激家畜生产而将上述各类以一定的比例搭配而成的各种混合物归为混合饲料。原始性日粮一般包括植物性茎叶、牧草、谷物及其糠、麸、饼、粕等。		
803	产品畜价格指数(上年=100)	A090604	产品畜指以生产各种畜产品为主要目的的牲畜，如仔猪、羊羔、幼禽等肉食性幼畜，母猪、种公猪等种畜，乳牛、羊等取乳品的牲畜，产毛、鬃等畜产品的牲畜等。		
804	半机械化农具生产资料价格指数(上年=100)	A090605	半机械化农具指以人、畜力为动力，按机械原理设计的，部分材料使用铸铁、钢材或配有滚动轴承、齿轮等机械零件的农具。如脚踏打谷机、人力胶轮车、畜力胶轮大车、钢管犁等。		
805	机械化农具生产资料价格指数(上年=100)	A090606	机械化农具指由动力机械驱动或牵引的作业机具。包括大中型和小型拖拉机（含手扶拖拉机）、柴油机、电动机、机引犁、机动插种机、机动插秧机、机动脱粒机、机动收割机、机动扬场机、粉碎机、挖坑机、抽水机、农用泵等。		
806	化学肥料生产资料价格指数(上年=100)	A090607			
807	农药及农药械生产资料价格指数(上年=100)	A090608	农药器械用于喷洒农药的器具，主要包括药剂喷雾器和药粉喷粉器。		
808	化学农药生产资料价格指数(上年=100)	A090609			
809	农药器械生产资料价格指数(上年=100)	A09060A	农药器械用于喷洒农药的器具，主要包括药剂喷雾器和药粉喷粉器。		
810	农用机油生产资料价格指数(上年=100)	A09060B	农用机油专用于农业生产的机油，包括农用柴油、农用汽油、润滑油等。		
811	其他农业生产资料价格指数(上年=100)	A09060C	其他农业生产资料指除上述列出的其他各种农业生产资料。主要包括农用塑料薄膜、灌滴用钢管（胶管）、麻袋、农用车轮胎、三角带和农用器械配件等。		
812	农用种子生产资料价格指数(上年=100)	A09060D	农用种子包括各种农作物种子，主要是各种谷物种子。		
813	其他农业生产资料(除种子)价格指数(上年=100)	A09060E			
814	农业生产服务价格指数(上年=100)	A09060F			
815	农产品生产价格指数(上年=100)	A090701	农产品生产价格指数是反映一定时期内，农产品生产者出售农产品价格水平变动趋势及幅度的相对数。该指数可以客观反映全国农产品生产价格水平和结构变动情况，满足农业与国民经济核算需要。其中某代表品生产价格指数是通过对全部有出售该产品行为的调查单位的个体指数进行几何平均求得的，类价格指数是通过对其所属的类（或代表品）的价格指数进行加权平均求得的。季度累计价格指数的计算方法与分季指数的计算方法相同。		
816	种植业生产价格指数(上年价格=100)	A090702			
817	谷物生产价格指数(上年价格=100)	A090703			
818	小麦生产价格指数(上年价格=100)	A090704			
819	稻谷生产价格指数(上年价格=100)	A090705			
820	玉米生产价格指数(上年价格=100)	A090706			
821	豆类生产价格指数(上年价格=100)	A090707			
822	大豆生产价格指数(上年价格=100)	A090708			
823	薯类生产价格指数(上年价格=100)	A090709			
824	油料生产价格指数(上年价格=100)	A09070A			
825	花生生产价格指数(上年价格=100)	A09070B			
826	油菜籽生产价格指数(上年价格=100)	A09070C			
827	棉花生产价格指数(上年价格=100)	A09070D			
828	糖料生产价格指数(上年价格=100)	A09070E			
829	麻类生产价格指数(上年价格=100)	A09070F			
830	烟叶生产价格指数(上年价格=100)	A09070G			
831	蔬菜生产价格指数(上年价格=100)	A09070H			
832	水果生产价格指数(上年价格=100)	A09070I			
833	茶叶生产价格指数(上年价格=100)	A09070J	茶叶指以茶树新梢上的芽叶嫩梢为原料加工而成的产品。主要分为绿茶、红茶、黄茶、黑茶、白茶、青茶、花茶等。		
834	林产品生产价格指数(上年价格=100)	A09070K			
835	畜产品生产价格指数(上年价格=100)	A09070L			
836	猪生产价格指数(上年价格=100)	A09070M			
837	家禽生产价格指数(上年价格=100)	A09070N			
838	蛋类生产价格指数(上年价格=100)	A09070O			
839	奶类生产价格指数(上年价格=100)	A09070P			
